City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,vorgashor,67.5833,63.95,-5.91,96,64,6.4,RU,1703052579
142,pingliang,35.5392,106.6861,28.2,36,0,5.84,CN,1703052579
143,lebanon,36.2081,-86.2911,31.44,80,0,1.01,US,1703052579
144,troitsko-pechorsk,62.7084,56.1964,21.69,95,100,11.99,RU,1703052579
145,tamanrasset,22.785,5.5228,35.51,25,0,0.0,DZ,1703052579
146,ihtiman,42.4333,23.8167,25.41,81,2,2.71,BG,1703052579
147,codrington,-38.2667,141.9667,61.66,51,39,18.48,AU,1703052579
148,itoman,26.1247,127.6694,63.37,92,75,19.57,JP,1703052579
149,novooleksiyivka,46.2269,34.6428,42.66,94,18,8.81,UA,1703052579
150,lerwick,60.1545,-1.1494,41.0,57,78,30.94,GB,1703052579
151,queenstown,-31.8976,26.8753,72.77,51,7,1.79,ZA,1703052579
152,sao mateus,-18.7161,-39.8589,69.48,97,100,2.91,BR,1703052580
153,ayancik,41.9447,34.5861,37.27,62,3,5.5,TR,1703052580
154,mabaruma,8.2,-59.7833,74.75,94,17,1.99,GY,1703052580
155,ugoofaaru,5.6667,73.0,83.39,78,98,18.34,MV,1703052580
156,senillosa,-39.0,-68.4167,53.19,60,88,5.68,AR,1703052580
157,qaqortoq,60.7167,-46.0333,35.58,97,100,22.1,GL,1703052580
158,sungai penuh,-2.0833,101.3833,73.29,87,66,2.57,ID,1703052580
159,naze,28.3667,129.4833,57.67,75,100,20.22,JP,1703052580
160,zhezqazghan,47.7833,67.7667,23.58,86,75,15.66,KZ,1703052580
161,zanjan,36.6736,48.4787,37.18,68,27,5.7,IR,1703052580
162,freetown,8.484,-13.2299,75.67,72,48,4.74,SL,1703052580
163,holualoa,19.6228,-155.9522,71.44,86,75,0.0,US,1703052580
164,mirpur sakro,24.5474,67.6277,74.64,18,40,13.22,PK,1703052581
165,puerto ayora,-0.7393,-90.3518,75.54,98,98,4.0,EC,1703052581
166,la'ie,21.6477,-157.9253,75.16,79,100,23.87,US,1703052581
167,solnechnyy,50.7214,136.6319,-10.41,92,100,3.13,RU,1703052581
168,macau,22.2006,113.5461,59.72,63,40,23.02,MO,1703052525
169,onokhoy,51.932,108.0747,-16.85,80,53,4.29,RU,1703052581
170,gadzhiyevo,69.2551,33.3362,16.02,96,100,2.82,RU,1703052581
171,yerofey pavlovich,53.9667,121.9667,0.37,69,100,2.53,RU,1703052581
172,tamiahua,21.2667,-97.45,64.76,67,0,3.62,MX,1703052581
173,saldanha,-33.0117,17.9442,64.63,78,0,16.71,ZA,1703052581
174,tofol,5.3248,163.0078,83.98,79,75,16.11,FM,1703052581
175,brumunddal,60.881,10.9395,18.99,96,100,1.83,NO,1703052581
176,margaret river,-33.95,115.0667,83.25,38,75,5.35,AU,1703052581
177,igarka,67.4667,86.5833,4.46,78,100,25.01,RU,1703052582
178,bichena,10.45,38.2,62.74,48,90,3.15,ET,1703052582
179,tobelo,1.7284,128.0095,86.11,70,26,10.8,ID,1703052582
180,grootfontein,-19.5667,18.1167,71.73,67,78,7.4,NA,1703052582
181,vila velha,-20.3297,-40.2925,73.35,94,75,3.44,BR,1703052582
182,petropavlovsk-kamchatsky,53.0452,158.6483,12.79,80,0,10.0,RU,1703052582
183,pandan,14.0453,124.1694,82.56,80,88,10.42,PH,1703052582
184,cacapava do sul,-30.5122,-53.4914,62.37,94,100,9.86,BR,1703052582
185,isangel,-19.55,169.2667,84.31,79,75,8.05,VU,1703052582
186,remire-montjoly,4.9167,-52.2667,77.04,94,75,4.61,GF,1703052582
187,machico,32.7,-16.7667,65.03,72,75,11.5,PT,1703052582
188,shenjiamen,29.9576,122.298,42.12,61,100,22.64,CN,1703052582
189,fale old settlement,-9.3852,-171.2468,84.29,75,100,8.61,TK,1703052582
190,tura,25.5198,90.2201,75.2,43,52,2.08,IN,1703052583
191,garissa,-0.4536,39.6401,83.12,70,82,7.96,KE,1703052583
192,lexington,37.9887,-84.4777,25.74,74,46,1.01,US,1703052146
193,esqueda,30.7167,-109.5833,54.27,36,67,4.5,MX,1703052583
194,al jawf,29.5,38.75,50.31,57,1,8.68,SA,1703052583
195,fort st. john,56.2499,-120.8529,19.18,99,100,0.85,CA,1703052583
196,torata,-17.0769,-70.8433,60.6,64,64,1.12,PE,1703052583
197,jiayuguan,39.8167,98.3,9.66,71,85,8.59,CN,1703052583
198,st. john's,47.5649,-52.7093,54.68,91,75,19.57,CA,1703052430
199,ar ruways,24.1103,52.7306,72.84,55,0,4.18,AE,1703052583
200,joshimath,30.5667,79.5667,69.75,18,8,1.32,IN,1703052583
201,nebbi,2.4783,31.0889,78.28,51,84,3.91,UG,1703052583
202,kalispell,48.1958,-114.3129,36.77,93,100,0.0,US,1703052553
203,susuman,62.7833,148.1667,-36.02,100,97,1.01,RU,1703052583
204,el porvenir,13.7617,-87.3458,61.93,77,15,8.32,HN,1703052583
205,severo-yeniseyskiy,60.3725,93.0408,-10.43,86,10,4.0,RU,1703052584
206,pago pago,-14.2781,-170.7025,80.96,82,97,7.67,AS,1703052584
207,haiku-pauwela,20.9219,-156.3051,73.04,82,40,24.16,US,1703052584
208,polyarnyy,69.1989,33.4478,16.14,95,100,2.51,RU,1703052584
209,puerto baquerizo moreno,-0.9,-89.6,75.2,91,97,10.65,EC,1703052584
210,timbiqui,2.7717,-77.6654,74.77,96,100,3.78,CO,1703052584
211,whitehorse,60.7161,-135.0538,15.03,94,100,6.78,CA,1703052584
212,palikir - national government center,6.9248,158.1611,85.05,79,75,10.36,FM,1703052584
213,odda,60.0691,6.5457,38.77,95,100,7.99,NO,1703052584
214,trairi,-3.2778,-39.2689,78.6,86,100,6.49,BR,1703052288
215,goundam,16.4145,-3.6708,52.56,27,66,15.17,ML,1703052584
216,hillsborough,37.5741,-122.3794,60.12,91,75,21.85,US,1703052584
217,northam,51.0333,-4.2167,51.66,87,54,22.28,GB,1703052584
218,chyorny yar,48.0624,46.1091,39.72,92,94,16.02,RU,1703052584
219,kankan,10.3854,-9.3057,60.55,21,22,4.72,GN,1703052585
220,turaif,31.6725,38.6637,41.25,48,0,4.61,SA,1703052585
221,praia da vitoria,38.7333,-27.0667,61.75,92,100,17.54,PT,1703052585
222,olean,42.0776,-78.4297,25.38,86,0,0.0,US,1703052400
223,kerikeri,-35.2268,173.9474,71.91,80,98,1.01,NZ,1703052585
224,lihue,21.9789,-159.3672,78.04,84,100,17.27,US,1703052413
225,howrah,22.5892,88.3103,69.8,60,28,8.05,IN,1703052585
226,sittwe,20.15,92.9,76.78,57,58,3.94,MM,1703052585
227,rongelap,11.1635,166.8941,80.82,80,85,21.3,MH,1703052585
228,san patricio,28.017,-97.5169,64.24,75,100,7.14,US,1703052585
229,hadibu,12.65,54.0333,78.48,76,24,13.2,YE,1703052585
230,havre,49.5833,0.3333,48.6,76,100,21.85,FR,1703052585
231,aykhal,66.0,111.5,-4.9,76,100,7.38,RU,1703052586
232,happy valley-goose bay,53.3168,-60.3315,40.41,84,100,9.84,CA,1703052586
233,zhanaozen,43.3,52.8,40.77,92,8,10.65,KZ,1703052586
234,old town,50.087,14.4202,40.75,92,75,17.27,CZ,1703052586
235,dunedin,-45.8742,170.5036,47.8,72,55,8.01,NZ,1703052586
236,sirte,31.2089,16.5887,56.7,68,20,18.99,LY,1703052586
237,keflavik,64.0049,-22.5624,32.43,100,75,11.5,IS,1703052586
238,kerrville,30.0474,-99.1403,54.95,88,40,5.75,US,1703052586
239,villa gesell,-37.2639,-56.973,63.05,73,99,17.67,AR,1703052586
240,usinsk,65.9939,57.5281,20.07,89,94,18.01,RU,1703052586
241,san pedro pochutla,15.7333,-96.4667,67.19,45,0,3.96,MX,1703052586
242,tolanaro,-25.0319,46.9987,80.65,66,44,4.9,MG,1703052586
243,tefe,-3.3542,-64.7114,75.52,93,83,0.76,BR,1703052382
244,la passe,45.5549,-0.8967,46.98,85,60,13.67,FR,1703052587
245,gaiman,-43.2897,-65.4929,61.9,36,62,17.16,AR,1703052587
246,waingapu,-9.6567,120.2641,87.48,62,94,9.95,ID,1703052587
247,nadym,65.5333,72.5167,6.96,95,79,13.62,RU,1703052587
248,kurumkan,54.3,110.3,-11.87,91,49,1.99,RU,1703052587
249,sitka,57.0531,-135.33,40.89,65,100,12.66,US,1703052587
250,galveston,29.3669,-94.9669,60.06,81,100,1.01,US,1703052587
251,menongue,-14.6585,17.691,70.16,74,100,1.86,AO,1703052587
252,safety bay,-32.3,115.7,97.02,38,78,7.65,AU,1703052587
253,aanekoski,62.6946,25.818,32.07,87,100,13.35,FI,1703052587
254,greenland,43.0362,-70.8328,34.11,80,0,5.75,US,1703052587
255,saquarema,-22.92,-42.5103,70.63,92,38,2.93,BR,1703052296
256,la mira,18.035,-102.3266,74.97,90,22,2.98,MX,1703052588
257,brazzaville,-4.2658,15.2832,74.12,94,74,0.22,CG,1703052588
258,springbok,-29.6643,17.8865,69.08,25,0,3.27,ZA,1703052588
259,barra dos coqueiros,-10.9089,-37.0386,78.82,69,40,2.3,BR,1703052588
260,plettenberg bay,-34.0527,23.3716,69.44,74,18,7.67,ZA,1703052588
261,port macquarie,-31.4333,152.9167,70.9,90,100,2.37,AU,1703052425
262,belpre,39.274,-81.5729,26.71,86,0,4.0,US,1703052588
263,mtskheta,41.8451,44.7188,32.09,57,0,1.43,GE,1703052588
264,fortuna,40.5982,-124.1573,53.65,97,100,8.05,US,1703052588
265,san antonio de pale,-1.4014,5.6325,80.42,82,50,5.82,GQ,1703052589
266,nar'yan-mar,67.6713,53.087,12.11,93,96,13.0,RU,1703052589
267,balabac,7.9868,117.0645,81.0,83,100,10.09,PH,1703052590
268,funafuti,-8.5243,179.1942,83.91,76,96,9.37,TV,1703052590
269,wewak,-3.5534,143.6268,76.91,92,100,2.86,PG,1703052590
270,mazidagi,37.4775,40.4881,45.5,54,57,4.9,TR,1703052590
271,lesnoy,57.6198,63.0784,20.62,84,59,14.67,RU,1703052590
272,kingston,17.997,-76.7936,69.21,88,37,7.14,JM,1703052590
273,east london,-33.0153,27.9116,75.11,66,20,12.17,ZA,1703052590
274,kandahar,31.0,65.75,58.03,16,100,1.48,AF,1703052479
275,rayachoti,14.05,78.75,78.85,56,39,10.69,IN,1703052504
276,jamestown,42.097,-79.2353,27.99,94,0,8.05,US,1703052590
277,ambovombe,-25.1667,46.0833,79.97,62,34,12.24,MG,1703052590
278,lulea,65.5842,22.1547,30.27,86,100,16.11,SE,1703052590
279,port alfred,-33.5906,26.891,71.19,92,1,1.99,ZA,1703052590
280,isafjordur,66.0755,-23.124,23.7,72,100,4.36,IS,1703052591
281,malango,-2.9627,119.9001,78.58,81,87,2.84,ID,1703052591
282,weno,7.4515,151.8468,85.95,70,20,10.36,FM,1703052591
283,acarau,-2.8856,-40.12,79.2,85,100,10.83,BR,1703052591
284,pacasmayo,-7.4006,-79.5714,70.14,85,49,10.13,PE,1703052591
285,arraial do cabo,-22.9661,-42.0278,73.8,84,29,3.29,BR,1703052368
